活动,时长,开始时间,结束时间,起,止,,
工作,5:23,2020/7/31 20:37,2020/8/1 2:01,,2:01,,
社交,1:05,2020/7/31 19:50,2020/7/31 20:55,,,,
工作,0:27,2020/7/31 19:22,2020/7/31 19:50,19:22,,,
家务,0:25,2020/7/31 18:57,2020/7/31 19:22,,,,
电影,0:47,2020/7/31 18:10,2020/7/31 18:57,18:10,18:57,,
用餐,0:47,2020/7/31 18:10,2020/7/31 18:57,18:10,18:57,,
家务,2:03,2020/7/31 16:07,2020/7/31 18:10,,,,
工作,1:10,2020/7/31 14:56,2020/7/31 16:07,,16:07,,
家务,0:26,2020/7/31 14:30,2020/7/31 14:56,,,,
社交,0:34,2020/7/31 14:30,2020/7/31 15:05,,,,
睡眠,1:09,2020/7/31 13:20,2020/7/31 14:30,13:20,14:30,,
工作,1:25,2020/7/31 11:54,2020/7/31 13:20,11:54,,,
工作,0:10,2020/7/31 11:54,2020/7/31 12:04,,,,
用餐,0:35,2020/7/31 11:18,2020/7/31 11:54,11:18,11:54,,
电影,0:35,2020/7/31 11:18,2020/7/31 11:54,11:18,11:54,,
学习,1:06,2020/7/31 10:02,2020/7/31 11:09,10:02,11:09,,
工作,1:42,2020/7/31 9:35,2020/7/31 11:18,9:35,11:18,,
家务,1:30,2020/7/31 8:32,2020/7/31 10:02,,,,
睡眠,5:49,2020/7/31 2:43,2020/7/31 8:32,2:43,8:32,,
家务,1:21,2020/7/31 1:21,2020/7/31 2:43,,,,
电影,4:45,2020/7/30 20:21,2020/7/31 1:06,,1:06,,
工作,4:59,2020/7/30 20:21,2020/7/31 1:21,20:21,1:21,,
家务,0:31,2020/7/30 19:49,2020/7/30 20:21,,,,
电影,1:01,2020/7/30 18:48,2020/7/30 19:49,18:48,,,
用餐,0:38,2020/7/30 18:48,2020/7/30 19:26,18:48,19:26,,
家务,1:32,2020/7/30 17:16,2020/7/30 18:48,,,,
工作,2:19,2020/7/30 14:56,2020/7/30 17:16,,17:16,,
家务,0:27,2020/7/30 14:29,2020/7/30 14:56,,,,
学习,0:29,2020/7/30 14:00,2020/7/30 14:29,14:00,,,
工作,0:31,2020/7/30 13:28,2020/7/30 14:00,,,,
用餐,0:34,2020/7/30 13:15,2020/7/30 13:50,13:15,13:50,,
工作,2:10,2020/7/30 11:05,2020/7/30 13:15,11:05,,,
学习,3:27,2020/7/30 9:47,2020/7/30 13:15,9:47,13:15,,
家务,1:17,2020/7/30 8:30,2020/7/30 9:47,,,,
睡眠,6:04,2020/7/30 2:25,2020/7/30 8:30,2:25,8:30,,
家务,0:39,2020/7/30 1:46,2020/7/30 2:25,,,,
工作,0:26,2020/7/30 1:19,2020/7/30 1:46,,1:46,,
家务,0:22,2020/7/30 0:57,2020/7/30 1:19,,,,
工作,5:46,2020/7/29 19:11,2020/7/30 0:57,19:11,,,
家务,0:09,2020/7/29 19:01,2020/7/29 19:11,,,,
电影,0:56,2020/7/29 18:05,2020/7/29 19:01,18:05,19:01,,
用餐,0:43,2020/7/29 18:05,2020/7/29 18:49,18:05,18:49,,
工作,0:30,2020/7/29 17:34,2020/7/29 18:05,17:35,18:05,,
家务,0:52,2020/7/29 16:42,2020/7/29 17:34,,,,
工作,1:39,2020/7/29 15:03,2020/7/29 16:42,15:03,16:42,,
家务,0:20,2020/7/29 14:42,2020/7/29 15:03,,,,
社交,1:00,2020/7/29 13:30,2020/7/29 14:30,,,,
用餐,0:32,2020/7/29 11:27,2020/7/29 11:59,11:27,11:59,,
工作,3:16,2020/7/29 10:13,2020/7/29 13:30,10:13,13:30,,
家务,1:38,2020/7/29 8:35,2020/7/29 10:13,,,,
睡眠,5:50,2020/7/29 2:45,2020/7/29 8:35,2:45,8:35,,
家务,0:34,2020/7/29 2:11,2020/7/29 2:45,,,,
工作,4:09,2020/7/28 22:01,2020/7/29 2:11,22:01,2:11,,
家务,0:53,2020/7/28 21:08,2020/7/28 22:01,,,,
用餐,0:23,2020/7/28 19:33,2020/7/28 19:57,19:33,19:57,,
电影,1:34,2020/7/28 19:33,2020/7/28 21:08,19:33,21:08,,
家务,0:09,2020/7/28 19:23,2020/7/28 19:33,,,,
工作,1:48,2020/7/28 17:35,2020/7/28 19:23,17:35,19:23,,
家务,0:52,2020/7/28 16:42,2020/7/28 17:35,,,,
工作,1:56,2020/7/28 14:45,2020/7/28 16:42,14:45,16:42,,
学习,2:12,2020/7/28 14:29,2020/7/28 16:42,14:29,16:42,,
家务,0:34,2020/7/28 13:55,2020/7/28 14:29,,,,
睡眠,0:31,2020/7/28 13:24,2020/7/28 13:55,13:24,13:55,,
家务,0:05,2020/7/28 13:18,2020/7/28 13:24,,,,
娱乐,0:52,2020/7/28 12:26,2020/7/28 13:18,,,,
用餐,0:31,2020/7/28 11:55,2020/7/28 12:26,11:55,12:26,,
工作,3:14,2020/7/28 8:40,2020/7/28 11:55,8:40,11:55,,
社交,1:12,2020/7/28 8:00,2020/7/28 9:12,,,,
家务,1:43,2020/7/28 7:29,2020/7/28 9:12,,,,
睡眠,6:09,2020/7/28 1:19,2020/7/28 7:29,1:19,7:29,,
家务,1:39,2020/7/27 23:39,2020/7/28 1:19,,,,
学习,3:08,2020/7/27 20:31,2020/7/27 23:39,20:31,23:39,,
家务,0:50,2020/7/27 19:40,2020/7/27 20:31,,,,
用餐,0:46,2020/7/27 17:58,2020/7/27 18:45,17:58,18:45,,
